Batting,,R,B,M,4s,6s,SR
Shivam Dube,lbw b Rashid Khan,10,7,11,0,1,142.85
Hardik Pandya,c Azmatullah Omarzai b Naveen-ul-Haq,32,24,40,3,2,133.33
Ravindra Jadeja,c Gulbadin Naib b Fazalhaq Farooqi,7,5,11,1,0,140
Axar Patel,run out (†Rahmanullah Gurbaz/Naveen-ul-Haq),12,6,11,2,0,200
Arshdeep Singh,not out,2,2,8,0,0,100
Rahmanullah Gurbaz †,c †Pant b Bumrah,11,8,7,1,1,137.5
Hazratullah Zazai,c Jadeja b Bumrah,2,4,20,0,0,50
Ibrahim Zadran,c Sharma b Patel,8,11,9,1,0,72.72
Gulbadin Naib,c †Pant b Kuldeep Yadav,17,21,25,1,1,80.95
Azmatullah Omarzai,c Patel b Jadeja,26,20,26,2,1,130
Najibullah Zadran,c Arshdeep Singh b Bumrah,19,17,22,0,2,111.76
Mohammad Nabi,c Jadeja b Kuldeep Yadav,14,14,24,0,1,100
Rashid Khan (c),c Jadeja b Arshdeep Singh,2,6,11,0,0,33.33
Noor Ahmad,c Sharma b Arshdeep Singh,12,18,19,1,1,66.66
Naveen-ul-Haq,c †Pant b Arshdeep Singh,0,1,1,0,0,0
Fazalhaq Farooqi,not out,4,1,11,1,0,400
Brandon King,retired hurt,23,13,23,3,1,176.92
Johnson Charles,c Brook b Ali,38,34,55,4,1,111.76
Nicholas Pooran †,c †Buttler b Archer,36,32,53,4,1,112.5
Rovman Powell (c),c Wood b Livingstone,36,17,18,0,5,211.76
Andre Russell,c Salt b Rashid,1,2,7,0,0,50
Sherfane Rutherford,not out,28,15,20,1,2,186.66
Romario Shepherd,not out,5,7,16,1,0,71.42
Phil Salt,not out,87,47,79,7,5,185.1
Jos Buttler (c)†,lbw b Chase,25,22,34,2,0,113.63
Moeen Ali,c Charles b Russell,13,10,9,2,0,130
Jonny Bairstow,not out,48,26,32,5,2,184.61
Quinton de Kock †,c Shayan Jahangir b Harmeet Singh,74,40,54,7,5,185
Reeza Hendricks,c Anderson b Netravalkar,11,11,12,0,1,100
Aiden Markram (c),c Ali Khan b Netravalkar,46,32,52,4,1,143.75
David Miller,c & b Harmeet Singh,0,1,1,0,0,0
Heinrich Klaasen,not out,36,22,35,0,3,163.63
Tristan Stubbs,not out,20,16,24,2,0,125
Steven Taylor,c Klaasen b Rabada,24,14,16,4,1,171.42
Andries Gous †,not out,80,47,88,5,5,170.21
Nitish Kumar,c Stubbs b Rabada,8,6,9,0,1,133.33
Aaron Jones (c),c †de Kock b Maharaj,0,5,4,0,0,0
Corey Anderson,b Nortje,12,12,10,0,1,100
Shayan Jahangir,lbw b Shamsi,3,9,51,0,0,33.33
Harmeet Singh,c Stubbs b Rabada,38,22,30,2,3,172.72
Jasdeep Singh,not out,2,6,7,0,0,33.33
Brandon King,b Azmatullah Omarzai,7,6,9,1,0,116.66
Johnson Charles,c Gulbadin Naib b Naveen-ul-Haq,43,27,43,8,0,159.25
Nicholas Pooran †,run out (Azmatullah Omarzai),98,53,86,6,8,184.9
Shai Hope,c Najibullah Zadran b Gulbadin Naib,25,17,14,0,2,147.05
